risk_budget,max_lev,OLD_cagr_%,OLD_maxDD_%,OLD_sharpe,OLD_ret_over_dd,TRAIN_cagr_%,TRAIN_maxDD_%,TRAIN_sharpe,TRAIN_ret_over_dd,TEST_cagr_%,TEST_maxDD_%,TEST_sharpe,TEST_ret_over_dd,FULL_cagr_%,FULL_maxDD_%,FULL_sharpe,FULL_ret_over_dd
0.0075,1.5,5.26,-8.12,0.85,0.65,11.61,-7.17,1.73,1.62,3.45,-9.31,0.57,0.37,6.92,-9.31,1.09,0.74
0.0075,2.0,5.26,-8.12,0.85,0.65,11.61,-7.17,1.73,1.62,3.45,-9.31,0.57,0.37,6.92,-9.31,1.09,0.74
0.0075,3.0,5.26,-8.12,0.85,0.65,11.61,-7.17,1.73,1.62,3.45,-9.31,0.57,0.37,6.92,-9.31,1.09,0.74
0.0075,4.0,5.26,-8.12,0.85,0.65,11.61,-7.17,1.73,1.62,3.45,-9.31,0.57,0.37,6.92,-9.31,1.09,0.74
0.01,1.5,7.06,-10.72,0.86,0.66,15.67,-9.46,1.73,1.66,4.54,-12.26,0.57,0.37,9.28,-12.26,1.09,0.76
0.01,2.0,7.06,-10.72,0.86,0.66,15.67,-9.46,1.73,1.66,4.54,-12.26,0.57,0.37,9.28,-12.26,1.09,0.76
0.01,3.0,7.06,-10.72,0.86,0.66,15.67,-9.46,1.73,1.66,4.54,-12.26,0.57,0.37,9.28,-12.26,1.09,0.76
0.01,4.0,7.06,-10.72,0.86,0.66,15.67,-9.46,1.73,1.66,4.54,-12.26,0.57,0.37,9.28,-12.26,1.09,0.76
0.0125,1.5,8.76,-13.26,0.87,0.66,19.88,-11.59,1.74,1.71,4.2,-15.1,0.46,0.28,11.3,-15.1,1.08,0.75
0.0125,2.0,8.85,-13.26,0.86,0.67,19.83,-11.72,1.73,1.69,5.6,-15.14,0.57,0.37,11.64,-15.14,1.1,0.77
0.0125,3.0,8.85,-13.26,0.86,0.67,19.83,-11.72,1.73,1.69,5.6,-15.14,0.57,0.37,11.64,-15.14,1.1,0.77
0.0125,4.0,8.85,-13.26,0.86,0.67,19.83,-11.72,1.73,1.69,5.6,-15.14,0.57,0.37,11.64,-15.14,1.1,0.77
0.015,1.5,9.56,-15.75,0.84,0.61,23.95,-12.84,1.76,1.86,3.18,-17.46,0.33,0.18,12.66,-17.46,1.06,0.73
0.015,2.0,10.68,-15.76,0.88,0.68,24.08,-13.93,1.73,1.73,6.06,-17.94,0.53,0.34,13.9,-17.94,1.1,0.78
0.015,3.0,10.62,-15.76,0.87,0.67,24.08,-13.93,1.73,1.73,6.62,-17.94,0.57,0.37,14.01,-17.94,1.1,0.78
0.015,4.0,10.62,-15.76,0.87,0.67,24.08,-13.93,1.73,1.73,6.62,-17.94,0.57,0.37,14.01,-17.94,1.1,0.78
0.02,1.5,10.69,-17.63,0.83,0.61,31.99,-14.4,1.84,2.22,2.42,-19.93,0.25,0.12,15.33,-19.93,1.09,0.77
0.02,2.0,12.68,-20.58,0.85,0.62,32.69,-16.84,1.76,1.94,3.97,-22.72,0.33,0.17,16.91,-22.72,1.06,0.74
0.02,3.0,14.09,-20.58,0.87,0.68,32.87,-18.22,1.73,1.8,8.55,-23.33,0.57,0.37,18.73,-23.33,1.1,0.8
0.02,4.0,14.09,-20.58,0.87,0.68,32.87,-18.22,1.73,1.8,8.55,-23.33,0.57,0.37,18.73,-23.33,1.1,0.8
