target,max_lev,OLD_cagr_%,OLD_maxDD_%,OLD_sharpe,OLD_ret_over_dd,TRAIN_cagr_%,TRAIN_maxDD_%,TRAIN_sharpe,TRAIN_ret_over_dd,TEST_cagr_%,TEST_maxDD_%,TEST_sharpe,TEST_ret_over_dd,FULL_cagr_%,FULL_maxDD_%,FULL_sharpe,FULL_ret_over_dd
0.1,1.5,7.07,-9.18,0.94,0.77,13.66,-7.79,1.79,1.75,4.73,-11.04,0.65,0.43,8.69,-11.04,1.15,0.79
0.1,2.0,7.1,-9.18,0.95,0.77,13.66,-7.79,1.79,1.75,4.75,-11.04,0.65,0.43,8.71,-11.04,1.16,0.79
0.1,3.0,7.1,-9.18,0.95,0.77,13.66,-7.79,1.79,1.75,4.75,-11.04,0.65,0.43,8.71,-11.04,1.16,0.79
0.1,4.0,7.1,-9.18,0.95,0.77,13.66,-7.79,1.79,1.75,4.75,-11.04,0.65,0.43,8.71,-11.04,1.16,0.79
0.15,1.5,9.38,-13.54,0.89,0.69,20.44,-11.3,1.78,1.81,4.24,-16.05,0.44,0.26,11.77,-16.05,1.09,0.73
0.15,2.0,10.4,-13.54,0.93,0.77,20.93,-11.52,1.79,1.82,6.53,-16.2,0.62,0.4,12.92,-16.2,1.14,0.8
0.15,3.0,10.63,-13.54,0.95,0.79,20.94,-11.52,1.79,1.82,6.99,-16.2,0.65,0.43,13.13,-16.2,1.16,0.81
0.15,4.0,10.63,-13.54,0.95,0.79,20.94,-11.52,1.79,1.82,6.99,-16.2,0.65,0.43,13.13,-16.2,1.16,0.81
0.2,1.5,9.52,-16.78,0.79,0.57,27.18,-13.02,1.84,2.09,3.48,-18.55,0.34,0.19,13.66,-18.55,1.06,0.74
0.2,2.0,12.43,-17.74,0.89,0.7,27.84,-14.85,1.78,1.87,5.45,-20.94,0.44,0.26,15.71,-20.94,1.09,0.75
0.2,3.0,14.05,-17.74,0.95,0.79,28.54,-15.14,1.79,1.89,9.09,-21.12,0.65,0.43,17.54,-21.12,1.16,0.83
0.2,4.0,14.11,-17.74,0.95,0.8,28.54,-15.14,1.79,1.89,9.13,-21.12,0.65,0.43,17.58,-21.12,1.16,0.83
0.25,1.5,10.65,-17.47,0.82,0.61,33.38,-14.03,1.92,2.38,2.48,-19.98,0.25,0.12,15.72,-19.98,1.11,0.79
0.25,2.0,12.33,-20.96,0.79,0.59,34.68,-16.71,1.81,2.08,4.43,-23.85,0.35,0.19,17.41,-23.85,1.05,0.73
0.25,3.0,16.66,-21.8,0.92,0.76,36.48,-18.65,1.79,1.96,9.33,-25.81,0.57,0.36,21.19,-25.81,1.13,0.82
0.25,4.0,17.54,-21.8,0.95,0.8,36.44,-18.65,1.79,1.95,11.17,-25.81,0.65,0.43,22.03,-25.81,1.16,0.85
