trade_from,trade_to,n,mult,train_rd,oos_cagr_%,oos_dd_%
2017-01-09,2017-07-07,20,3.5,0.67,22.15,-2.34
2017-07-09,2018-01-09,20,3.5,1.06,16.72,-2.92
2018-01-09,2018-07-09,10,2.0,1.63,6.74,-6.63
2018-07-09,2019-01-09,10,2.0,1.11,5.0,-11.88
2019-01-09,2019-07-09,7,3.0,2.63,23.51,-3.9
2019-07-09,2020-01-09,7,3.0,2.58,3.04,-5.88
2020-01-09,2020-07-09,7,3.0,1.56,16.58,-16.69
2020-07-09,2021-01-08,14,2.5,1.64,75.83,-2.72
2021-01-09,2021-07-09,14,2.5,2.83,29.43,-4.52
2021-07-09,2022-01-07,20,2.5,2.95,26.59,-6.04
2022-01-09,2022-07-08,20,3.5,3.3,-14.62,-13.04
2022-07-09,2023-01-09,20,2.5,4.04,5.05,-8.39
2023-01-09,2023-07-07,20,2.5,2.09,8.2,-6.04
2023-07-09,2024-01-09,20,2.5,1.09,21.85,-3.91
2024-01-09,2024-03-26,20,2.5,0.99,-2.08,-3.11
